Cliente,Veiculo,Data,Inicio,Fim,Registros CAN,Km Inicial,Km Final,Km Percorrido,Consumo Combustivel (L),Horas Motor,Media Km/L,Velocidade Media,Velocidade Maxima,Temperatura Motor Media,Temperatura Motor Maxima,Temperatura Ambiente Media,Pressao Ar Media,Pressao Ar Maxima,Economia Combustivel Media,Temperatura Cabine Media
Londrina,1150,27-06-2026,27-06-2026 21:40:28,27-06-2026 21:51:14,642,117381,117381,0,0.446,,0,10.115646258503402,23,49.03846153846154,64,24.857142857142858,1040.7120418848167,1096,28580.330578512396,
Londrina,1150,28-06-2026,28-06-2026 11:01:56,28-06-2026 21:09:12,31114,117381,117545,164,62.905,9,2.6071059534218266,25.30819221395988,66,88.44031311154599,98,30.462244897959184,1040.18901453958,1096,18807.637333333332,0
Londrina,1151,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:31:00,12490,115340,115402,62,23.893,2,2.594902272632152,23.890535533849782,61,87.09571788413098,90,26.40648379052369,1028.7774420946625,1072,18267.48963611239,
Londrina,1151,28-06-2026,28-06-2026 00:29:32,28-06-2026 21:01:06,1314,115402,115403,1,0.82,0,1.2195121951219512,9.953757225433526,30,76.06666666666666,89,32.18181818181818,998.5198237885462,1080,23610.339920948616,0
Londrina,1152,27-06-2026,27-06-2026 21:31:09,27-06-2026 21:47:14,963,120774,120774,0,0.857,,0,10.29585798816568,30,75.5625,85,33.542857142857144,948.7492063492064,1072,19065.594202898552,
Londrina,1152,28-06-2026,28-06-2026 08:21:11,28-06-2026 22:23:10,47750,120774,121021,247,85.051,12,2.9041398690197644,25.6475264233058,67,89.27988748241913,98,30.353507565337,1014.5179800077892,1080,19142.92430717157,0
Londrina,1153,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,14370,123870,123965,95,32.935,3,2.8844694094428416,25.735871063513944,71,91.34645669291339,93,25.43846153846154,1055.5590863952334,1096,16151.594481873597,
Londrina,1153,28-06-2026,28-06-2026 00:00:00,28-06-2026 20:41:53,2243,123965,123976,11,3.249,0,3.3856571252693137,23.298214285714284,63,87.72,93,29.231578947368423,1041.2675324675324,1088,19068.945216680295,0
Londrina,1154,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,8876,114966,115014,48,17.802,1,2.696326255476913,23.863154613466335,69,90.03260869565217,94,27.045454545454547,1034.7681660899655,1064,13878.757009345794,
Londrina,1154,28-06-2026,28-06-2026 00:00:00,28-06-2026 23:48:55,19012,115014,115111,97,40.87,5,2.3733790066063127,25.258303772976458,62,89.8173076923077,95,31.545098039215688,1034.4186046511627,1080,16720.059442724458,0
Londrina,1154,29-06-2026,29-06-2026 00:03:55,29-06-2026 00:29:50,1374,115111,115124,13,3.556,0,3.655793025871766,33.488013698630134,73,81.19047619047619,91,25,1051.404255319149,1080,15666.778443113772,
Londrina,1155,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:00:34,10683,118973,119028,55,16.986,2,3.23796067349582,22.07724742789678,54,89.51239669421487,93,27.661971830985916,1027.115910727142,1072,19122.065785428837,
